wave,outcome,stratum,n,term,coef,se,t,p
2014,marriage_sat,female,274,urban,-0.03874,0.10936,-0.354,0.72342
2014,marriage_sat,female,274,parent_avg_age,-0.02901,0.0181,-1.603,0.11014
2014,marriage_sat,female,274,parent_avg_edu,0.00059,0.01596,0.037,0.97058
2014,marriage_sat,female,274,parent_log_income,0.01054,0.0605,0.174,0.8619
2014,ideal_children,all,2118,const,1.38521,0.28631,4.838,0.0
2014,ideal_children,all,2118,mother_ideation,-0.00844,0.10715,-0.079,0.93719
2014,ideal_children,all,2118,father_ideation,0.00888,0.15758,0.056,0.95507
2014,ideal_children,all,2118,child_female,-0.31565,0.15267,-2.068,0.0388
2014,ideal_children,all,2118,age_c,-0.11609,0.05183,-2.24,0.02522
2014,ideal_children,all,2118,age_c2,-0.04243,0.02179,-1.947,0.05165
2014,ideal_children,all,2118,urban,-0.02618,0.03224,-0.812,0.417
2014,ideal_children,all,2118,parent_avg_age,0.00929,0.00371,2.506,0.0123
2014,ideal_children,all,2118,parent_avg_edu,-0.00781,0.00445,-1.755,0.07947
2014,ideal_children,all,2118,parent_log_income,-0.00487,0.01488,-0.327,0.74347
2014,ideal_children,all,2118,mother_id_x_female,0.32038,0.17127,1.871,0.06153
2014,ideal_children,all,2118,father_id_x_female,0.07651,0.20052,0.382,0.70283
2014,ideal_children,male,1226,const,0.98166,0.344,2.854,0.00439
2014,ideal_children,male,1226,mother_ideation,-0.02617,0.1084,-0.241,0.80926
2014,ideal_children,male,1226,father_ideation,0.00116,0.15954,0.007,0.99419
2014,ideal_children,male,1226,age_c,-0.16635,0.06227,-2.671,0.00766
2014,ideal_children,male,1226,age_c2,-0.04016,0.02647,-1.517,0.12944
2014,ideal_children,male,1226,urban,-0.01087,0.04494,-0.242,0.80899
2014,ideal_children,male,1226,parent_avg_age,0.01598,0.00479,3.34,0.00086
2014,ideal_children,male,1226,parent_avg_edu,-0.00942,0.00611,-1.542,0.12344
2014,ideal_children,male,1226,parent_log_income,-0.00148,0.01889,-0.079,0.93742
2014,ideal_children,female,892,const,1.61427,0.47342,3.41,0.00068
2014,ideal_children,female,892,mother_ideation,0.3112,0.13682,2.275,0.02317
2014,ideal_children,female,892,father_ideation,0.10535,0.12527,0.841,0.4006
2014,ideal_children,female,892,age_c,-0.09735,0.10467,-0.93,0.35259
2014,ideal_children,female,892,age_c2,-0.06471,0.04419,-1.465,0.1434
2014,ideal_children,female,892,urban,-0.04169,0.04475,-0.932,0.35172
2014,ideal_children,female,892,parent_avg_age,0.00013,0.00576,0.023,0.98163
2014,ideal_children,female,892,parent_avg_edu,-0.00446,0.00629,-0.709,0.47836
2014,ideal_children,female,892,parent_log_income,-0.0119,0.02413,-0.493,0.62208
2014,employed,all,1561,const,0.99176,0.21364,4.642,0.0
2014,employed,all,1561,mother_ideation,0.10227,0.07465,1.37,0.17092
2014,employed,all,1561,father_ideation,-0.02175,0.06676,-0.326,0.74467
2014,employed,all,1561,child_female,0.07475,0.1131,0.661,0.50878
2014,employed,all,1561,age_c,0.01469,0.03694,0.398,0.69082
2014,employed,all,1561,age_c2,-0.08325,0.01988,-4.187,3e-05
2014,employed,all,1561,urban,-0.02572,0.02229,-1.154,0.24871
2014,employed,all,1561,parent_avg_age,-0.00328,0.00275,-1.193,0.2329
2014,employed,all,1561,parent_avg_edu,0.00074,0.0033,0.223,0.82343
2014,employed,all,1561,parent_log_income,0.01196,0.01117,1.071,0.28446
2014,employed,all,1561,mother_id_x_female,-0.36099,0.14481,-2.493,0.01277
2014,employed,all,1561,father_id_x_female,-0.03525,0.13727,-0.257,0.79735
2014,employed,male,961,const,1.19979,0.23864,5.028,0.0
2014,employed,male,961,mother_ideation,0.09359,0.07371,1.27,0.20452
2014,employed,male,961,father_ideation,-0.02504,0.06705,-0.374,0.70884
2014,employed,male,961,age_c,0.00345,0.04001,0.086,0.93136
2014,employed,male,961,age_c2,-0.11855,0.02274,-5.213,0.0
2014,employed,male,961,urban,-0.01762,0.02265,-0.778,0.43672
2014,employed,male,961,parent_avg_age,-0.00435,0.00305,-1.429,0.1532
2014,employed,male,961,parent_avg_edu,-0.00211,0.00336,-0.626,0.5316
2014,employed,male,961,parent_log_income,0.00178,0.01214,0.146,0.88373
2014,employed,female,600,const,0.72791,0.38691,1.881,0.06042
2014,employed,female,600,mother_ideation,-0.25352,0.1262,-2.009,0.04501
2014,employed,female,600,father_ideation,-0.03196,0.12147,-0.263,0.79253
2014,employed,female,600,age_c,0.04519,0.09286,0.487,0.62665
2014,employed,female,600,age_c2,-0.01744,0.04713,-0.37,0.71147
2014,employed,female,600,urban,-0.04061,0.04471,-0.908,0.36407
2014,employed,female,600,parent_avg_age,-0.00202,0.00508,-0.397,0.69151
2014,employed,female,600,parent_avg_edu,0.00724,0.00666,1.088,0.27704
2014,employed,female,600,parent_log_income,0.02866,0.02125,1.349,0.1778
2014,log_wage_year,all,1275,const,4.37829,2.76328,1.584,0.11334
2014,log_wage_year,all,1275,mother_ideation,-0.79473,1.04598,-0.76,0.44752
2014,log_wage_year,all,1275,father_ideation,0.83172,1.04136,0.799,0.42462
2014,log_wage_year,all,1275,child_female,-0.59461,1.28393,-0.463,0.64336
2014,log_wage_year,all,1275,age_c,-0.30638,0.52525,-0.583,0.5598
2014,log_wage_year,all,1275,age_c2,-0.20221,0.26439,-0.765,0.44452
2014,log_wage_year,all,1275,urban,1.08307,0.28526,3.797,0.00015
2014,log_wage_year,all,1275,parent_avg_age,-0.01035,0.03584,-0.289,0.77289
2014,log_wage_year,all,1275,parent_avg_edu,0.03233,0.04251,0.761,0.44704
2014,log_wage_year,all,1275,parent_log_income,0.31839,0.14639,2.175,0.02982
2014,log_wage_year,all,1275,mother_id_x_female,1.7295,1.72125,1.005,0.31519
2014,log_wage_year,all,1275,father_id_x_female,-1.11528,1.6237,-0.687,0.49229
2014,log_wage_year,male,858,const,3.38031,3.29975,1.024,0.30593
2014,log_wage_year,male,858,mother_ideation,-0.78687,1.04216,-0.755,0.45043
2014,log_wage_year,male,858,father_ideation,0.69625,1.04348,0.667,0.5048
2014,log_wage_year,male,858,age_c,-0.6152,0.59743,-1.03,0.30342
2014,log_wage_year,male,858,age_c2,-0.18146,0.30171,-0.601,0.54772
2014,log_wage_year,male,858,urban,1.39696,0.34969,3.995,7e-05
2014,log_wage_year,male,858,parent_avg_age,0.00236,0.0442,0.053,0.95737
2014,log_wage_year,male,858,parent_avg_edu,-0.03622,0.05149,-0.703,0.48196
2014,log_wage_year,male,858,parent_log_income,0.37284,0.17488,2.132,0.0333
2014,log_wage_year,female,417,const,5.19186,4.76558,1.089,0.2766
2014,log_wage_year,female,417,mother_ideation,1.11312,1.443,0.771,0.44092
2014,log_wage_year,female,417,father_ideation,0.18122,1.28924,0.141,0.88829
2014,log_wage_year,female,417,age_c,0.60169,1.1575,0.52,0.60347
2014,log_wage_year,female,417,age_c2,-0.03848,0.57588,-0.067,0.94676
2014,log_wage_year,female,417,urban,0.34609,0.495,0.699,0.48485
2014,log_wage_year,female,417,parent_avg_age,-0.03236,0.06095,-0.531,0.59571
2014,log_wage_year,female,417,parent_avg_edu,0.18196,0.07342,2.478,0.0136
2014,log_wage_year,female,417,parent_log_income,0.2332,0.27086,0.861,0.38977
2014,mgmt,all,908,const,-0.11123,0.23769,-0.468,0.63993
2014,mgmt,all,908,mother_ideation,-0.17182,0.11608,-1.48,0.13918
2014,mgmt,all,908,father_ideation,0.05741,0.09331,0.615,0.53855
2014,mgmt,all,908,child_female,-0.10538,0.11068,-0.952,0.34128
2014,mgmt,all,908,age_c,0.01303,0.05635,0.231,0.81723
2014,mgmt,all,908,age_c2,-0.00905,0.02902,-0.312,0.75528
2014,mgmt,all,908,urban,-0.02882,0.02414,-1.194,0.23272
2014,mgmt,all,908,parent_avg_age,0.00537,0.00316,1.698,0.0899
2014,mgmt,all,908,parent_avg_edu,0.00946,0.00381,2.486,0.01311
2014,mgmt,all,908,parent_log_income,0.00074,0.01275,0.058,0.95364
2014,mgmt,all,908,mother_id_x_female,0.17291,0.16694,1.036,0.30062
2014,mgmt,all,908,father_id_x_female,-0.03701,0.15511,-0.239,0.81145
2014,mgmt,male,580,const,-0.20844,0.30158,-0.691,0.48973
2014,mgmt,male,580,mother_ideation,-0.17277,0.1166,-1.482,0.13894
2014,mgmt,male,580,father_ideation,0.06333,0.09353,0.677,0.4986
2014,mgmt,male,580,age_c,0.02558,0.0668,0.383,0.70196
2014,mgmt,male,580,age_c2,0.00245,0.03634,0.068,0.94617
2014,mgmt,male,580,urban,-0.04739,0.02981,-1.59,0.11243
2014,mgmt,male,580,parent_avg_age,0.00553,0.00422,1.31,0.19056
2014,mgmt,male,580,parent_avg_edu,0.0122,0.00452,2.699,0.00717
2014,mgmt,male,580,parent_log_income,0.00806,0.01523,0.529,0.59712
2014,mgmt,female,328,const,-0.05022,0.36489,-0.138,0.89062
2014,mgmt,female,328,mother_ideation,0.00228,0.1285,0.018,0.98585
2014,mgmt,female,328,father_ideation,-0.00314,0.12382,-0.025,0.97975
2014,mgmt,female,328,age_c,-0.00811,0.11074,-0.073,0.94168
2014,mgmt,female,328,age_c2,-0.0265,0.05122,-0.517,0.60521
2014,mgmt,female,328,urban,0.00691,0.04182,0.165,0.86896
2014,mgmt,female,328,parent_avg_age,0.00518,0.00471,1.099,0.27271
2014,mgmt,female,328,parent_avg_edu,0.00362,0.00706,0.513,0.60839
2014,mgmt,female,328,parent_log_income,-0.01061,0.0216,-0.491,0.62381
2014,edu_yrs,all,2117,const,5.88125,1.27878,4.599,0.0
2014,edu_yrs,all,2117,mother_ideation,-0.47295,0.46952,-1.007,0.3139
2014,edu_yrs,all,2117,father_ideation,-0.22588,0.52104,-0.434,0.66469
2014,edu_yrs,all,2117,child_female,0.89338,0.54853,1.629,0.10353
